Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,RaceCode,RaceType,
"2023-03-13","13:20:00","Thurles","Leugh Beginners Chase","2m5f ","21",,"Yielding","5841","15","Right Handed","1","Brawler (IRE)","8","ORegan, Denis","0","Foley, Patrick T","0","112","166","5.00","22F5709","84","CkPc TT","Teofilo (IRE)","Red Avis","Gelding",,"14","National Hunt","Beginners Chase",
"2023-03-13","13:20:00","Thurles","Leugh Beginners Chase","2m5f ","21",,"Yielding","5841","15","Right Handed","2","Champagne Monarch (IRE)","8","Enright, P T","0","Aherne, Sean","0","0","166","66.00","549U600","95",,"Imperial Monarch (IRE)","Tuney Tulip (IRE)","Gelding",,"14","National Hunt","Beginners Chase",
"2023-03-13","13:20:00","Thurles","Leugh Beginners Chase","2m5f ","21",,"Yielding","5841","15","Right Handed","3","Ernie From Nurney (IRE)","6","Smithers, P T","7","Roche, Padraig","0","97","166","7.50","'0708035","30",,"Dylan Thomas (IRE)","Royal Flight (IRE)","Gelding",,"14","National Hunt","Beginners Chase",
"2023-03-13","13:20:00","Thurles","Leugh Beginners Chase","2m5f ","21",,"Yielding","5841","15","Right Handed","4","Gali Flight (FR)","7","Moore, Niall","7","Fenton, Philip","0","0","166","16.00","7327245","33","CkPc","Spider Flight (FR)","Lady Va (FR)","Gelding",,"14","National Hunt","Beginners Chase",
"2023-03-13","13:20:00","Thurles","Leugh Beginners Chase","2m5f ","21",,"Yielding","5841","15","Right Handed","5","Good World (IRE)","8","Meyler, D","0","Griffin, Eoin","0","95","166","28.00","'UP55140","23",,"Morozov (USA)","Moyas Charm (IRE)","Gelding",,"14","National Hunt","Beginners Chase",
"2023-03-13","13:20:00","Thurles","Leugh Beginners Chase","2m5f ","21",,"Yielding","5841","15","Right Handed","6","Instant Return (IRE)","7","Fenelon, S","7","Hanlon, John Joseph","0","0","166","66.00","1200700","22",,"Elzaam (AUS)","Instant Memories (IRE)","Gelding",,"14","National Hunt","Beginners Chase",
"2023-03-13","13:20:00","Thurles","Leugh Beginners Chase","2m5f ","21",,"Yielding","5841","15","Right Handed","7","Mylestown Upper (FR)","7","Gainford, Mr J C","0","Elliott, Gordon","0","0","166","3.00","4420","9",,"Balko (FR)","Lady Heart (FR)","Gelding",,"14","National Hunt","Beginners Chase",
"2023-03-13","13:20:00","Thurles","Leugh Beginners Chase","2m5f ","21",,"Yielding","5841","15","Right Handed","8","One Horse Army (IRE)","6","Kelly, Aidan","7","Roche, Padraig","0","0","166","12.00","'000083","56",,"Mahler","Corporate Box (IRE)","Gelding",,"14","National Hunt","Beginners Chase",
"2023-03-13","13:20:00","Thurles","Leugh Beginners Chase","2m5f ","21",,"Yielding","5841","15","Right Handed","9","Politicise (IRE)","7","OKeeffe, Darragh","0","Slevin, Nigel","0","106","166","6.50","8220504","22","CkPc","Camelot","Politesse (USA)","Gelding",,"14","National Hunt","Beginners Chase",
"2023-03-13","13:20:00","Thurles","Leugh Beginners Chase","2m5f ","21",,"Yielding","5841","15","Right Handed","10","Read To Return (IRE)","6","Carberry, Peter","0","Martin, A J","0","0","166","50.00","580857","25",,"Fame And Glory","Skipping Free (IRE)","Gelding",,"14","National Hunt","Beginners Chase",
"2023-03-13","13:20:00","Thurles","Leugh Beginners Chase","2m5f ","21",,"Yielding","5841","15","Right Handed","11","Sevenna Star (IRE)","8","Maxwell, Dillon","7","McNamara, Andrew","0","0","166","40.00","30063PP","25","CkPc TT","Redoutes Choice (AUS)","Sevenna (FR)","Gelding",,"14","National Hunt","Beginners Chase",
