Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,RaceCode,RaceType,LR_Placing,Horse_Season_Runs,TodayDistance_Yards,Max_DistanceYards_Run,Max_DistanceYards_Win,SameDistance_Wins,GreaterDistance_Wins,LesserDistance_Wins,LR_Track,HorseRuns_365days,
"2023-05-24","14:00:00","Yarmouth","QuinnBet Apprentice Handicap","1m3.5f ","11.5","Class 6","Good To Firm","3768","7","Left Handed","1","Arab Cinder (IRE)","4","Planas, Connor","3","Appleby, M","7","65","138","16.00","7162799","26","CkPc","Zoffany (IRE)","Athreyaa","Filly",,"0","Flat","Handicap","Ninth","1","2530","2640","2640","0","1","0","Doncaster","9",
"2023-05-24","14:00:00","Yarmouth","QuinnBet Apprentice Handicap","1m3.5f ","11.5","Class 6","Good To Firm","3768","7","Left Handed","2","Crafter (IRE)","5","Loughnane, Mr Billy","0","Loughnane, Daniel Mark","5","65","138","10.00","60600","53",,"Muhaarar","Boston Rocker (IRE)","Gelding",,"0","Flat","Handicap","Eleventh","1","2530","2640","0","0","0","0","Doncaster","4",
"2023-05-24","14:00:00","Yarmouth","QuinnBet Apprentice Handicap","1m3.5f ","11.5","Class 6","Good To Firm","3768","7","Left Handed","3","Alpha King","5","Wright, Liam","7","Charalambous, P / Clutterbuck, J","1","64","137","3.00","5508570","177",,"Kingman","Kilo Alpha","Gelding","CD","0","Flat","Handicap","Twelfth","0","2530","3080","2530","1","0","0","Wolverhampton","11",
"2023-05-24","14:00:00","Yarmouth","QuinnBet Apprentice Handicap","1m3.5f ","11.5","Class 6","Good To Firm","3768","7","Left Handed","4","Raqisa","5","Kavanagh, Ryan","7","Murphy, Amy","4","63","136","4.50","77636P4","4","Blnk TT","Mukhadram","Hazy Dancer","Mare",,"0","Flat","Handicap","Fourth","1","2530","4730","2640","0","1","0","Doncaster","4",
"2023-05-24","14:00:00","Yarmouth","QuinnBet Apprentice Handicap","1m3.5f ","11.5","Class 6","Good To Firm","3768","7","Left Handed","5","Daaris (IRE)","4","Voikhansky, Alexander","5","Frost, Kevin","2","60","133","2.50","7052235","25","CkPc","Dawn Approach (IRE)","Reyaadah","Gelding",,"0","Flat","Handicap","Fifth","1","2530","2750","0","0","0","0","Doncaster","7",
"2023-05-24","14:00:00","Yarmouth","QuinnBet Apprentice Handicap","1m3.5f ","11.5","Class 6","Good To Firm","3768","7","Left Handed","6","Habanero Star","6","Catton, Luke","3","Kelleway, Miss Gay","6","58","131","4.50","1234185","22",,"Mayson","Highly Spiced","Mare","C","0","Flat","Handicap","Fifth","2","2530","2640","2420","0","0","5","Yarmouth","12",
"2023-05-24","14:00:00","Yarmouth","QuinnBet Apprentice Handicap","1m3.5f ","11.5","Class 6","Good To Firm","3768","7","Left Handed","7","Tradesman (IRE)","4","Haines, Olivia","7","Simcock, D M","3","57","130","7.00","997","219",,"Mastercraftsman (IRE)","Casila (IRE)","Gelding",,"0","Flat","Handicap","Seventh","0","2530","2640","0","0","0","0","Wolverhampton","3",
"2023-05-24","14:10:00","Warwick","Logicor William Eborall Maiden Hurdle (GBB Race)","2m3f ","19","Class 4","Good","4084","6","Left Handed","1","Dj Pete (IRE)","5","Powell, Brendan","0","Sherwood, O","0","0","158","4.00","4255","93",,"Malinas (GER)","Rosealainn (IRE)","Gelding",,"9","National Hunt","Maiden Hurdle","Fifth","0","4180","4620","0","0","0","0","Lingfield","3",
"2023-05-24","14:10:00","Warwick","Logicor William Eborall Maiden Hurdle (GBB Race)","2m3f ","19","Class 4","Good","4084","6","Left Handed","2","Idolss Eye (FR)","8","Bellamy, Tom","0","Bradstock, M","0","0","158","20.00","753P","528","Hood","Diamond Boy (FR)","Rose Caline (FR)","Gelding",,"9","National Hunt","Maiden Hurdle","Pulled Up","0","4180","4620","0","0","0","0","Southwell","0",
"2023-05-24","14:10:00","Warwick","Logicor William Eborall Maiden Hurdle (GBB Race)","2m3f ","19","Class 4","Good","4084","6","Left Handed","3","Moytier (FR)","6","Scholfield, Nick","0","Hosie, Syd","0","96","158","22.00","467","10",,"Falco (USA)","Cest Trop Injuste (FR)","Gelding",,"9","National Hunt","Maiden Hurdle","Seventh","1","4180","4730","0","0","0","0","Ludlow","3",
"2023-05-24","14:10:00","Warwick","Logicor William Eborall Maiden Hurdle (GBB Race)","2m3f ","19","Class 4","Good","4084","6","Left Handed","4","San Fermin (IRE)","7","Coleman, A","0","Murphy, Olly","0","107","158","5.50","213244","76"," TT","Sans Frontieres (IRE)","Taipans Girl (IRE)","Gelding",,"9","National Hunt","Maiden Hurdle","Fourth","0","4180","4620","3850","0","0","1","Wincanton","2",
"2023-05-24","14:10:00","Warwick","Logicor William Eborall Maiden Hurdle (GBB Race)","2m3f ","19","Class 4","Good","4084","6","Left Handed","5","Cooleenymore (IRE)","7",,"0","Walford, Robert","0","0","151","0.00","352","2",,"Mahler","Presentnomore (IRE)","Mare",,"9","National Hunt","Maiden Hurdle","Second","1","4180","4400","0","0","0","0","Ffos Las","3",
"2023-05-24","14:10:00","Warwick","Logicor William Eborall Maiden Hurdle (GBB Race)","2m3f ","19","Class 4","Good","4084","6","Left Handed","6","Mistral Nell","6","Frost, Bryony","0","Wadham, Mrs L","0","94","151","6.50","654P32P","23","CkPc","Mount Nelson","Mistral Reine","Mare",,"9","National Hunt","Maiden Hurdle","Pulled Up","1","4180","4730","3630","0","0","1","Warwick","7",
"2023-05-24","14:10:00","Warwick","Logicor William Eborall Maiden Hurdle (GBB Race)","2m3f ","19","Class 4","Good","4084","6","Left Handed","7","Our Scholar (IRE)","4","Cobden, Harry","0","Jones, Jack","0","109","150","0.91","1385523","16",,"Exceed And Excel (AUS)","Olympienne (IRE)","Gelding",,"9","National Hunt","Maiden Hurdle","Third","1","4180","3740","3080","0","0","1","Worcester","8",
"2023-05-24","14:20:00","Ayr","Jameson Irish Whiskey EBF Stallions Maiden Stakes (GBB Race)","6f ","6","Class 4","Good","5400","6","Straight","1","Army Ethos","2","Doyle, Hollie","0","Watson, Archie","1","0","133","2.25","none",,,"Shalaa (IRE)","Dream Dana (IRE)","Colt",,"0","Flat","Maiden","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","14:20:00","Ayr","Jameson Irish Whiskey EBF Stallions Maiden Stakes (GBB Race)","6f ","6","Class 4","Good","5400","6","Straight","2","Dingwall","2","Mullen, Andrew","0","Jardine, I","3","0","133","12.00","none",,,"Calyx","Please Sing","Colt",,"0","Flat","Maiden","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","14:20:00","Ayr","Jameson Irish Whiskey EBF Stallions Maiden Stakes (GBB Race)","6f ","6","Class 4","Good","5400","6","Straight","3","Jehangeer (IRE)","2","Eaves, Tom","0","Ryan, K A","5","0","133","3.33","none",,,"Kodiac","Spasha","Colt",,"0","Flat","Maiden","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","14:20:00","Ayr","Jameson Irish Whiskey EBF Stallions Maiden Stakes (GBB Race)","6f ","6","Class 4","Good","5400","6","Straight","4","Mushterek (IRE)","2","Orr, Oisin","0","Fahey, R A","6","0","133","3.33","none",,,"Mehmas (IRE)","Zambezi Queen (IRE)","Colt",,"0","Flat","Maiden","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","14:20:00","Ayr","Jameson Irish Whiskey EBF Stallions Maiden Stakes (GBB Race)","6f ","6","Class 4","Good","5400","6","Straight","5","Sovereign Nation","2","Fanning, Joe","0","Johnston, Charlie","2","0","133","5.00","none",,,"Ten Sovereigns (IRE)","De Veer Cliffs (IRE)","Colt",,"0","Flat","Maiden","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","14:20:00","Ayr","Jameson Irish Whiskey EBF Stallions Maiden Stakes (GBB Race)","6f ","6","Class 4","Good","5400","6","Straight","6","Heroic Angel (IRE)","2","Hart, Jason","0","Fell, Roger","4","0","128","10.00","none",,,"Soldiers Call","Holy Norma","Filly",,"0","Flat","Maiden","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","14:35:00","Yarmouth","Moulton Nurseries Handicap","1m2f ","10","Class 5","Good To Firm","4397","11","Left Handed","1","Giovanni Baglione (IRE)","4","Muscutt, D","0","Parr, Joseph","9","72","137","28.00","1239709","172",,"Caravaggio (USA)","Like A Star (IRE)","Gelding",,"0","Flat","Handicap","Ninth","0","2200","1870","1760","0","0","1","Wolverhampton","8",
"2023-05-24","14:35:00","Yarmouth","Moulton Nurseries Handicap","1m2f ","10","Class 5","Good To Firm","4397","11","Left Handed","2","Conservative (IRE)","4","Curtis, B A","0","Dixon, Scott","7","72","137","11.00","3496406","22",,"Churchill (IRE)","Fairy Dancer (IRE)","Gelding",,"0","Flat","Handicap","Sixth","2","2200","2200","1760","0","0","1","Wolverhampton","8",
"2023-05-24","14:35:00","Yarmouth","Moulton Nurseries Handicap","1m2f ","10","Class 5","Good To Firm","4397","11","Left Handed","3","Jean Danjou","4","Buick, William","0","Meehan, B J","10","71","136","8.50","23586","23","CkPc TT","Lope De Vega (IRE)","Foreign Legionary (IRE)","Gelding",,"0","Flat","Handicap","Sixth","1","2200","2640","0","0","0","0","Windsor","5",
"2023-05-24","14:35:00","Yarmouth","Moulton Nurseries Handicap","1m2f ","10","Class 5","Good To Firm","4397","11","Left Handed","4","Flower Of Thunder (IRE)","6","Haynes, Joey","0","Dunnett, Mrs C A","4","70","135","20.00","5531188","41",,"Night Of Thunder (IRE)","Flower Fairy (USA)","Mare","CD","0","Flat","Handicap","Eighth","1","2200","2640","2200","5","0","0","Chelmsford City","9",
"2023-05-24","14:35:00","Yarmouth","Moulton Nurseries Handicap","1m2f ","10","Class 5","Good To Firm","4397","11","Left Handed","5","Delphi Dreamer","4","Fallon, Cieren","0","Loughnane, Daniel Mark","11","70","135","28.00","244","140",,"Iffraaj","Dixie Dreamer","Gelding",,"0","Flat","Handicap","Fourth","0","2200","1870","0","0","0","0","Newcastle","3",
"2023-05-24","14:35:00","Yarmouth","Moulton Nurseries Handicap","1m2f ","10","Class 5","Good To Firm","4397","11","Left Handed","6","At Liberty (IRE)","4","Crouch, Hector","0","Bell, M L W","1","70","135","4.00","8211563","11",,"Muhaarar","Federation","Gelding","CD","0","Flat","Handicap","Third","2","2200","2640","2200","2","0","0","Nottingham","15",
"2023-05-24","14:35:00","Yarmouth","Moulton Nurseries Handicap","1m2f ","10","Class 5","Good To Firm","4397","11","Left Handed","7","Meng Tian","4","Loughnane, Mr Billy","3","Woods, S P C","8","69","134","4.00","7733574","20",,"Territories (IRE)","Yearbook","Gelding",,"0","Flat","Handicap","Fourth","1","2200","1870","1540","0","0","2","Lingfield","9",
"2023-05-24","14:35:00","Yarmouth","Moulton Nurseries Handicap","1m2f ","10","Class 5","Good To Firm","4397","11","Left Handed","8","Hotspur Harry (IRE)","6","Eddery, George","7","Eddery, Robert","6","68","133","6.50","6629023","27",,"Zoffany (IRE)","Dark Crusader (IRE)","Gelding","D","0","Flat","Handicap","Third","2","2200","2750","2310","1","1","0","Chelmsford City","9",
"2023-05-24","14:35:00","Yarmouth","Moulton Nurseries Handicap","1m2f ","10","Class 5","Good To Firm","4397","11","Left Handed","9","Cavalluccio (IRE)","4","ONeill, K T","0","Haynes, Alice","3","67","132","5.00","6712123","20","Hood","Caravaggio (USA)","Gale Song","Gelding","D","0","Flat","Handicap","Third","4","2200","2200","2200","1","0","1","Chelmsford City","12",
"2023-05-24","14:35:00","Yarmouth","Moulton Nurseries Handicap","1m2f ","10","Class 5","Good To Firm","4397","11","Left Handed","10","Moonlit Cloud","5","Smith, Jefferson","0","Ivory, D K","2","61","126","4.50","5120391","12",,"Sea The Moon (GER)","Apple Blossom (IRE)","Mare","D","0","Flat","Handicap","First","1","2200","2420","2310","1","1","0","Nottingham","7",
"2023-05-24","14:35:00","Yarmouth","Moulton Nurseries Handicap","1m2f ","10","Class 5","Good To Firm","4397","11","Left Handed","11","Casa Luna (IRE)","4","Stott, Kevin","0","Kirby, P A","5","61","126","22.00","4334746","22",,"Starspangledbanner (AUS)","Flowers Of Spring (IRE)","Filly",,"0","Flat","Handicap","Sixth","2","2200","2750","0","0","0","0","Wolverhampton","7",
"2023-05-24","14:45:00","Warwick","Logicor Warwickshire Novices Handicap Hurdle","2m ","16","Class 5","Good","3961","7","Left Handed","1","Afta Party (IRE)","5","Scholfield, Nick","0","Hosie, Syd","0","98","168","16.00","923144F","137",,"Mastercraftsman (IRE)","Wood Fairy","Gelding",,"8","National Hunt","Handicap Novices Hurdle","Fell","0","3520","4290","1760","0","0","1","Wincanton","10",
"2023-05-24","14:45:00","Warwick","Logicor Warwickshire Novices Handicap Hurdle","2m ","16","Class 5","Good","3961","7","Left Handed","2","Him Malaya (FR)","4","Cobden, Harry","0","Nicholls, P F","0","104","168","1.75","3P32","10"," TT","Martaline","Clarte Dor (FR)","Gelding",,"8","National Hunt","Handicap Novices Hurdle","Second","1","3520","3740","0","0","0","0","Ludlow","4",
"2023-05-24","14:45:00","Warwick","Logicor Warwickshire Novices Handicap Hurdle","2m ","16","Class 5","Good","3961","7","Left Handed","3","Allihies (IRE)","4","Durrell, Mr T","5","Skelton, Daniel","0","103","167","3.00","6054234","16"," TT","Anjaal","Ahd (USA)","Gelding",,"8","National Hunt","Handicap Novices Hurdle","Fourth","1","3520","3630","1540","0","0","1","Worcester","11",
"2023-05-24","14:45:00","Warwick","Logicor Warwickshire Novices Handicap Hurdle","2m ","16","Class 5","Good","3961","7","Left Handed","4","Noble Savage (IRE)","8","Lambert, Finn","5","Twiston-Davies, N A","0","95","165","10.00","4576275","41",,"Arcadio (GER)","Callerdiscallerdat (IRE)","Gelding",,"8","National Hunt","Handicap Novices Hurdle","Fifth","0","3520","4730","0","0","0","0","Taunton","4",
"2023-05-24","14:45:00","Warwick","Logicor Warwickshire Novices Handicap Hurdle","2m ","16","Class 5","Good","3961","7","Left Handed","5","Pak Army (IRE)","8","Roberts, Mr B","7","Barr, Brian","0","95","165","3.33","'0F5P711","33","Blnk TT","Arcano (IRE)","Charity Box","Gelding",,"8","National Hunt","Handicap Novices Hurdle","First","0","3520","4620","3740","0","1","4","Bath","11",
"2023-05-24","14:45:00","Warwick","Logicor Warwickshire Novices Handicap Hurdle","2m ","16","Class 5","Good","3961","7","Left Handed","6","Escobedo","5","Harris, Bradley","7","Harris, M F","0","81","151","8.00","4538367","92","CkPc TT","Nathaniel (IRE)","Notary","Gelding",,"8","National Hunt","Handicap Novices Hurdle","Seventh","0","3520","4620","0","0","0","0","Taunton","5",
"2023-05-24","14:45:00","Warwick","Logicor Warwickshire Novices Handicap Hurdle","2m ","16","Class 5","Good","3961","7","Left Handed","7","Russies Dream","7","Davies, James","0","Down, C J","0","72","142","28.00","90895","101"," TT","Dream Eater (IRE)","Russie With Love","Gelding",,"8","National Hunt","Handicap Novices Hurdle","Fifth","0","3520","4180","0","0","0","0","Exeter","3",
"2023-05-24","14:55:00","Ayr","Dead Mans Fingers Handicap","6f ","6","Class 6","Good","3664","9","Straight","1","Kraken Power (IRE)","5","Mason, Joanna","0","Goldie, J S","1","61","141","4.50","1622243","51",,"The Last Lion (IRE)","Throne","Gelding","D","0","Flat","Handicap","Third","1","1320","3520","1320","1","0","2","Newcastle","19",
"2023-05-24","14:55:00","Ayr","Dead Mans Fingers Handicap","6f ","6","Class 6","Good","3664","9","Straight","2","Freedom Flyer (IRE)","6","Sullivan, James P","0","Carr, Mrs R A","9","60","140","1.38","7621342","16","CkPc","Invincible Spirit (IRE)","Liberating","Gelding","D","0","Flat","Handicap","Second","4","1320","1540","1320","1","0","1","Ayr","9",
"2023-05-24","14:55:00","Ayr","Dead Mans Fingers Handicap","6f ","6","Class 6","Good","3664","9","Straight","3","Global Humor (USA)","8","Mulrennan, Paul","0","Goldie, J S","7","58","138","8.00","2630077","5","Blnk","Distorted Humor (USA)","In Bloom (USA)","Gelding","C D","0","Flat","Handicap","Seventh","3","1320","1760","1650","4","3","1","Hamilton","18",
"2023-05-24","14:55:00","Ayr","Dead Mans Fingers Handicap","6f ","6","Class 6","Good","3664","9","Straight","4","Giselles Izzy (IRE)","4","Mullen, Andrew","0","Jardine, I","2","54","134","5.00","5353273","19",,"Camacho","Miss Cape (IRE)","Filly","D","0","Flat","Handicap","Third","2","1320","1540","1320","1","0","0","Musselburgh","16",
"2023-05-24","14:55:00","Ayr","Dead Mans Fingers Handicap","6f ","6","Class 6","Good","3664","9","Straight","5","Empress Of Bough (IRE)","4","Markey, S R","7","McCann, Anthony","3","53","133","11.00","5200290","32"," TT","Holy Roman Emperor (IRE)","La Ninfa Rossa","Filly",,"0","Flat","Handicap","Thirteenth","1","1320","1540","0","0","0","0","Navan","9",
"2023-05-24","14:55:00","Ayr","Dead Mans Fingers Handicap","6f ","6","Class 6","Good","3664","9","Straight","6","Nodsasgoodasawink","5","Mathers, Patrick","0","Perratt, Miss L A","6","46","126","25.00","7806004","1","CkPc","Sixties Icon","Winkaway","Mare","D","0","Flat","Handicap","Fourth","2","1320","1760","1320","2","0","0","Ayr","12",
"2023-05-24","14:55:00","Ayr","Dead Mans Fingers Handicap","6f ","6","Class 6","Good","3664","9","Straight","7","Elettaria (IRE)","4","Hardie, Cameron","0","Wainwright, J S","4","46","126","11.00","4058700","13","CkPc","Mehmas (IRE)","Rayon Rouge (IRE)","Filly",,"0","Flat","Handicap","Fourteenth","1","1320","1870","0","0","0","0","Thirsk","8",
"2023-05-24","14:55:00","Ayr","Dead Mans Fingers Handicap","6f ","6","Class 6","Good","3664","9","Straight","8","Burtonlodge Beauty (IRE)","4","Allan, David","0","Perratt, Miss L A","8","46","126","33.00","5788068","5","CkPc","Bungle Inthejungle","Katevan (IRE)","Filly",,"0","Flat","Handicap","Eighth","2","1320","1540","1100","0","0","1","Hamilton","15",
"2023-05-24","14:55:00","Ayr","Dead Mans Fingers Handicap","6f ","6","Class 6","Good","3664","9","Straight","9","Hard Solution","7","Eaves, Tom","0","Carr, Mrs R A","5","46","126","16.00","4853686","19","Vsor","Showcasing","Copy-Cat","Gelding","D","0","Flat","Handicap","Sixth","3","1320","1320","1320","5","0","3","Newcastle","14",
"2023-05-24","15:10:00","Yarmouth","British EBF 40th Anniversary Novice Stakes (GBB Race)","6f ","6","Class 3","Good To Firm","8100","9","Straight","1","American Tale","2","Stott, Kevin","0","Meehan, B J","5","0","133","12.00","7","33",,"Expert Eye","Taleteller (USA)","Colt",,"0","Flat","Novices","Seventh","1","1320","1100","0","0","0","0","Newbury","1",
"2023-05-24","15:10:00","Yarmouth","British EBF 40th Anniversary Novice Stakes (GBB Race)","6f ","6","Class 3","Good To Firm","8100","9","Straight","2","El Bodon (IRE)","2","Ghiani, Marco","0","Chapple-Hyam, Jane","6","0","133","2.25","none",,,"Churchill (IRE)","Flawless Jewel (FR)","Colt",,"0","Flat","Novices","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","15:10:00","Yarmouth","British EBF 40th Anniversary Novice Stakes (GBB Race)","6f ","6","Class 3","Good To Firm","8100","9","Straight","3","Jimmy Speaking","2","Edmunds, Lewis","0","Dwyer, C A","7","0","133","33.00","none",,,"Territories (IRE)","Ever After (FR)","Gelding",,"0","Flat","Novices","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","15:10:00","Yarmouth","British EBF 40th Anniversary Novice Stakes (GBB Race)","6f ","6","Class 3","Good To Firm","8100","9","Straight","4","Khamsin (USA)","2","Spencer, Jamie","0","Simcock, D M","9","0","133","8.50","none",,,"Flatter (USA)","Street Love (USA)","Colt",,"0","Flat","Novices","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","15:10:00","Yarmouth","British EBF 40th Anniversary Novice Stakes (GBB Race)","6f ","6","Class 3","Good To Firm","8100","9","Straight","5","Macedonian King (IRE)","2","Cherchi, Stefano","0","Murphy, Amy","3","0","133","40.00","74","16",,"Unfortunately (IRE)","Concra Girl (IRE)","Colt",,"0","Flat","Novices","Fourth","2","1320","1100","0","0","0","0","Windsor","2",
"2023-05-24","15:10:00","Yarmouth","British EBF 40th Anniversary Novice Stakes (GBB Race)","6f ","6","Class 3","Good To Firm","8100","9","Straight","6","Mart","2","Crouch, Hector","0","Bell, M L W","8","0","133","12.00","none",,,"Dark Angel (IRE)","Adorn","Colt",,"0","Flat","Novices","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","15:10:00","Yarmouth","British EBF 40th Anniversary Novice Stakes (GBB Race)","6f ","6","Class 3","Good To Firm","8100","9","Straight","7","State Of Desire","2","Buick, William","0","Appleby, Charlie","4","0","133","1.00","none",,,"Frankel","Desirous","Colt",,"0","Flat","Novices","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","15:10:00","Yarmouth","British EBF 40th Anniversary Novice Stakes (GBB Race)","6f ","6","Class 3","Good To Firm","8100","9","Straight","8","Watch My Tracer (IRE)","2","Muscutt, D","0","Scott, George","1","0","133","18.00","none",,,"Dandy Man (IRE)","Heavenly Angel","Gelding",,"0","Flat","Novices","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","15:10:00","Yarmouth","British EBF 40th Anniversary Novice Stakes (GBB Race)","6f ","6","Class 3","Good To Firm","8100","9","Straight","9","Jumeirah Breeze (IRE)","2","Havlin, Robert","0","Margarson, G G","2","0","128","11.00","none",,,"Kessaar (IRE)","Rajmahal (UAE)","Filly",,"0","Flat","Novices","No Run","0","1320","0","0","0","0","0",,"0",
"2023-05-24","15:20:00","Warwick","Logicor Chandler Handicap Chase","3m2f ","26","Class 5","Good","4489","6","Left Handed","1","Ecossais (FR)","9","Wynne, Toby","5","Greenall, Oliver","0","107","170","5.50","2P24235","331","Vsor TT","Saddler Maker (IRE)","Sacade (FR)","Gelding","D","20","National Hunt","Handicap Chase","Fifth","0","5720","6710","5720","1","0","2","Southwell","2",
"2023-05-24","15:20:00","Warwick","Logicor Chandler Handicap Chase","3m2f ","26","Class 5","Good","4489","6","Left Handed","2","Marettimo (IRE)","9","Kitts, Dylan","7","Turner, W G M","0","107","170","3.00","1PP4513","15",,"Harbour Watch (IRE)","Renowned (IRE)","Gelding",,"20","National Hunt","Handicap Chase","Third","1","5720","5610","5280","0","0","4","Ludlow","6",
"2023-05-24","15:20:00","Warwick","Logicor Chandler Handicap Chase","3m2f ","26","Class 5","Good","4489","6","Left Handed","3","Ballycross","12","Bellamy, Tom","0","Jeffreys, D J","0","105","168","16.00","3P32946","63","Blnk","Kings Theatre (IRE)","Ninna Nanna (FR)","Gelding",,"20","National Hunt","Handicap Chase","Sixth","0","5720","7040","5390","0","0","2","Warwick","3",
"2023-05-24","15:20:00","Warwick","Logicor Chandler Handicap Chase","3m2f ","26","Class 5","Good","4489","6","Left Handed","4","Pottlerath (IRE)","8","Sheppard, Stan","0","Sheppard, M","0","105","168","2.00","22P4531","16","CkPc TT","Yeats (IRE)","Truffle Fairy (IRE)","Gelding","CD","20","National Hunt","Handicap Chase","First","1","5720","5830","5720","1","0","3","Worcester","11",
"2023-05-24","15:20:00","Warwick","Logicor Chandler Handicap Chase","3m2f ","26","Class 5","Good","4489","6","Left Handed","5","Reign Suepreme (IRE)","8","Davies, James","0","Evans, Mrs N S","0","90","153","5.00","'PPB8335","2","CkPc","Imperial Monarch (IRE)","Runaround Sue (IRE)","Gelding",,"20","National Hunt","Handicap Chase","Fifth","1","5720","5940","0","0","0","0","Ffos Las","8",
"2023-05-24","15:20:00","Warwick","Logicor Chandler Handicap Chase","3m2f ","26","Class 5","Good","4489","6","Left Handed","6","Troed Y Melin (IRE)","11",,"0","Honour, Chris","0","79","142","0.00","15P36PP","38","CkPc","Craigsteel","Kissangel (IRE)","Gelding","CD","20","National Hunt","Handicap Chase","Pulled Up","0","5720","5830","5720","1","0","2","Huntingdon","6",
"2023-05-24","15:20:00","Warwick","Logicor Chandler Handicap Chase","3m2f ","26","Class 5","Good","4489","6","Left Handed","7","Dorado Dollar (IRE)","9","Bannister, Harry A A","0","Case, B I","0","79","142","5.50","553PP22","13","CkPc","Golden Lariat (USA)","Stability Treaty (IRE)","Gelding",,"20","National Hunt","Handicap Chase","Second","1","5720","6270","0","0","0","0","Huntingdon","6",
"2023-05-24","15:30:00","Ayr","Tennents Lager British Stallion Studs EBF Rothesay Stakes (Fillies And Mares Listed)","1m2f ","10","Listed Race","Good","26654","7","Left Handed","1","Al Husn (IRE)","4","Crowley, Jim","0","Varian, Roger","6","103","128","0.91","7411112","17",,"Dubawi (IRE)","Hadaatha (IRE)","Filly","D","0","Flat","Non-Handicap","Second","1","2200","2200","2200","1","0","3","Newmarket (Rowley)","3",
"2023-05-24","15:30:00","Ayr","Tennents Lager British Stallion Studs EBF Rothesay Stakes (Fillies And Mares Listed)","1m2f ","10","Listed Race","Good","26654","7","Left Handed","2","Angels Wrath (IRE)","4","Coen, Ben M","0","Murtagh, J P","7","96","128","10.00","1774202","21",,"Dark Angel (IRE)","Cailini Alainn (IRE)","Filly",,"0","Flat","Non-Handicap","Second","1","2200","2090","1540","0","0","1","Gowran Park","5",
"2023-05-24","15:30:00","Ayr","Tennents Lager British Stallion Studs EBF Rothesay Stakes (Fillies And Mares Listed)","1m2f ","10","Listed Race","Good","26654","7","Left Handed","3","Crystal Caprice (IRE)","4","Kingscote, Richard","0","Stoute, Sir Michael","1","101","128","4.00","6111305","22",,"Frankel","Crystal Zvezda","Filly",,"0","Flat","Non-Handicap","Fifth","1","2200","2200","1760","0","0","3","Nottingham","7",
"2023-05-24","15:30:00","Ayr","Tennents Lager British Stallion Studs EBF Rothesay Stakes (Fillies And Mares Listed)","1m2f ","10","Listed Race","Good","26654","7","Left Handed","4","Jewel In My Crown","5","Shepherd, Callum","0","Guest, Rae","3","95","128","20.00","'0611035","19",,"Mukhadram","Rosa Grace","Mare","D","0","Flat","Non-Handicap","Fifth","2","2200","2860","2420","3","2","1","Newmarket (Rowley)","10",
"2023-05-24","15:30:00","Ayr","Tennents Lager British Stallion Studs EBF Rothesay Stakes (Fillies And Mares Listed)","1m2f ","10","Listed Race","Good","26654","7","Left Handed","5","Madame Ambassador","4","Fanning, Joe","0","Johnston, Charlie","2","82","128","28.00","3613146","29","CkPc","Churchill (IRE)","Lady Jane Digby","Filly",,"0","Flat","Non-Handicap","Sixth","1","2200","2640","2640","0","2","1","Epsom","8",
"2023-05-24","15:30:00","Ayr","Tennents Lager British Stallion Studs EBF Rothesay Stakes (Fillies And Mares Listed)","1m2f ","10","Listed Race","Good","26654","7","Left Handed","6","Makinmedoit (IRE)","4","Turner, Hayley","0","Eustace, Harry","5","100","128","7.50","7515123","123"," TT","Golden Horn","Tranquil Star (IRE)","Filly","D","0","Flat","Non-Handicap","Third","0","2200","2640","2200","3","0","0","Lingfield","8",
"2023-05-24","15:30:00","Ayr","Tennents Lager British Stallion Studs EBF Rothesay Stakes (Fillies And Mares Listed)","1m2f ","10","Listed Race","Good","26654","7","Left Handed","7","Pink Carnation","4","Doyle, Hollie","0","Watson, Archie","4","102","128","7.00","5310172","22","Blnk","Territories (IRE)","Dusty Red","Filly",,"0","Flat","Non-Handicap","Second","1","2200","2200","1980","0","0","2","Nottingham","4",
"2023-05-24","15:40:00","Yarmouth","British Stallion Studs EBF Maiden Fillies Stakes (GBB Race)","5f ","5","Class 2","Good To Firm","15462","12","Straight","1","Born To Rock (IRE)","2","Tart, Robert","0","Chapple-Hyam, Jane","2","0","128","6.00","none",,,"Soldiers Call","Love To Rock (IRE)","Filly",,"0","Flat","Maiden","No Run","0","1100","0","0","0","0","0",,"0",
