racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2023-09-01","13:30:00","Carlisle","Kingmoor Park Fillies Restricted Novice Stakes (GBB Race)","2yo","Class 5",,"6f ","4320","Good To Firm","8","1st",,"Havana Rose (IRE)","1","Bethell, Ed","2","Rodriguez, Callum","0","128","2.25",,"0","1 mins 13.84s","73.84",,"0","6","1","Flat","0","0","3","0","1282","0","Novices","chased leaders, went 2nd 2f out, ridden to lead inside final furlong, stayed on","2","Inside","Straight",,"9","1","Havana Gold (IRE)","Undulating","4320","Filly","Rue Bonaparte (IRE)","Dark Angel (IRE)","0",
"2023-09-01","13:30:00","Carlisle","Kingmoor Park Fillies Restricted Novice Stakes (GBB Race)","2yo","Class 5",,"6f ","4320","Good To Firm","8","2nd","0.75","Lunar Streets (IRE)","4","Dunlop, E A L","2","Sexton, Ryan","3","130","2.25",,"0","1 mins 13.84s","73.84","0.75","0","6","2","Flat","0","0","3","0","1282","0","Novices","chased leaders on inside, outpaced and shaken up inside final 2f, rallied and switched right twice inside final furlong, stayed on into 2nd towards finish, not reach winner","1","Inside","Straight",,"30","1","Ten Sovereigns (IRE)","Undulating","2028","Filly","Dry Your Eyes (IRE)","Shamardal (USA)","0",
"2023-09-01","13:30:00","Carlisle","Kingmoor Park Fillies Restricted Novice Stakes (GBB Race)","2yo","Class 5",,"6f ","4320","Good To Firm","8","3rd","0.5","Vintage Love","8","Tuer, Grant","2","McDonald, P J","0","126","2.13","(Fav)","0","1 mins 13.84s","73.84","1.25","0","6","3","Flat","0","0","3","0","1282","0","Novices","chased leaders out wide, led over 2f out, ridden and headed inside final furlong, lost 2nd towards finish","8","Inside","Straight",,"20","2","Expert Eye","Undulating","1014","Filly","Love And Cherish (IRE)","Excellent Art","0",
"2023-09-01","13:30:00","Carlisle","Kingmoor Park Fillies Restricted Novice Stakes (GBB Race)","2yo","Class 5",,"6f ","4320","Good To Firm","8","4th","0.75","Jungle Jean (IRE)","5","Scott, Miss Katie","2","Dennis, Phil","0","128","11",,"0","1 mins 13.84s","73.84","2","0","6","4","Flat","0","0","3","0","1282","0","Novices","raced keenly chasing leaders out wide, stayed on same pace in 4th inside final furlong","3","Inside","Straight",,"29","1","Bungle Inthejungle","Undulating","507","Filly","Rebecca Rolfe","Pivotal","0",
"2023-09-01","13:30:00","Carlisle","Kingmoor Park Fillies Restricted Novice Stakes (GBB Race)","2yo","Class 5",,"6f ","4320","Good To Firm","8","5th","7","Allegro Brillante","6","Goldie, J S","2","Mulrennan, Paul","0","126","200",,"0","1 mins 13.84s","73.84","9","0","6","5","Flat","0","0","3","0","1282","0","Novices","soon outpaced in last trio, ridden halfway, some late minor headway, never on terms","4","Inside","Straight",,"7","1","Portamento (IRE)","Undulating","0","Filly","Trasparencia (ARG)","Dynamix (IRE)","0",
"2023-09-01","13:30:00","Carlisle","Kingmoor Park Fillies Restricted Novice Stakes (GBB Race)","2yo","Class 5",,"6f ","4320","Good To Firm","8","6th","0.5","Flocon","2","OMeara, D","2","Winn, Mark","3","123","80",,"0","1 mins 13.84s","73.84","9.5","0","6","6","Flat","0","0","3","0","1282","0","Novices","led until headed over 2f out, chased leaders, weakened over 1f out","5","Inside","Straight",,"20","1","Mondialiste (IRE)","Undulating","0","Filly","Lady Gibraltar","Rock Of Gibraltar (IRE)","0",
"2023-09-01","13:30:00","Carlisle","Kingmoor Park Fillies Restricted Novice Stakes (GBB Race)","2yo","Class 5",,"6f ","4320","Good To Firm","8","7th","1.25","Lincolns Inn (IRE)","3","Herrington,M ","2","Allan, David","0","126","28",,"0","1 mins 13.84s","73.84","10.75","0","6","7","Flat","0","0","3","0","1282","0","Novices","started very slowly, green and outpaced in rear, never a factor","7","Inside","Straight",,"None","0","Inns Of Court (IRE)","Undulating","0","Filly","China In My Hands","Dark Angel (IRE)","0",
"2023-09-01","13:30:00","Carlisle","Kingmoor Park Fillies Restricted Novice Stakes (GBB Race)","2yo","Class 5",,"6f ","4320","Good To Firm","8","8th","0.75","Joons Dream (IRE)","7","Tuer, Grant","2","James, S H","0","126","10",,"0","1 mins 13.84s","73.84","11.5","0","6","8","Flat","0","0","3","0","1282","0","Novices","slowly into stride and went left start, ran green and always behind","6","Inside","Straight",,"None","0","Kodi Bear (IRE)","Undulating","0","Filly","Alosha (IRE)","Alhebayeb (IRE)","0",
"2023-09-01","14:00:00","Carlisle","Armstrong Watson Handicap","3yo+","Class 5",,"6f ","4187","Good To Firm","12","1st",,"American Affair","10","Goldie, J S","3","Mulrennan, Paul","0","135","5.5",,"67","1 mins 12.51s","72.51",,"65","6","1","Flat","0","0","3","0","1282","0","Handicap","chased leader, led halfway, made rest, stayed on well","6","Inside","Straight",,"15","8","Washington Dc (IRE)","Undulating","4187","Gelding","Classy Anne","Orientor","70",
"2023-09-01","14:00:00","Carlisle","Armstrong Watson Handicap","3yo+","Class 5",,"6f ","4187","Good To Firm","12","2nd","0.75","Mighty Power (IRE)","7","Barclay, Stella","5","McHugh, B","0","135","12",,"65","1 mins 12.51s","72.51","0.75","65","6","2","Flat","0","0","3","0","1282","0","Handicap","steadied start, pulled hard in rear, good headway out wide over 1f out, went 2nd inside final furlong, stayed on towards finish, not reach winner","5","Inside","Straight",,"20","26","Markaz (IRE)","Undulating","1965","Gelding","Tooley Woods (IRE)","Cape Cross (IRE)","70",
"2023-09-01","14:00:00","Carlisle","Armstrong Watson Handicap","3yo+","Class 5",,"6f ","4187","Good To Firm","12","3rd","1","Havana Rum (IRE)","12","Fahey, R A","3","Orr, Oisin","0","131","16",,"63","1 mins 12.51s","72.51","1.75","65","6","3","Flat","0","0","3","0","1282","0","Handicap","chased leaders, went 2nd going well 2f out, soon every chance, ridden and held when lost 2nd inside final furlong, kept on same pace in 3rd","11","Inside","Straight","Vsor","50","9","Havana Grey","Undulating","982","Gelding","Urban Hunt (IRE)","Born To Sea (IRE)","70",
"2023-09-01","14:00:00","Carlisle","Armstrong Watson Handicap","3yo+","Class 5",,"6f ","4187","Good To Firm","12","4th","1","Roshambo","1","Camacho, Miss J A","4","Sexton, Ryan","3","136","3.33","(Fav)","69","1 mins 12.51s","72.51","2.75","65","6","4","Flat","0","0","3","0","1282","0","Handicap","slowly into stride, off the pace towards rear, headway when not clear run and switched right inside final furlong, plugged on, never going pace to reach leaders","3","Inside","Straight"," Eye","28","9","Due Diligence (USA)","Undulating","491","Filly","Horsforth","Kyllachy","70",
"2023-09-01","14:00:00","Carlisle","Armstrong Watson Handicap","3yo+","Class 5",,"6f ","4187","Good To Firm","12","5th","HD","So Grateful","3","Easterby, M W","5","Chalkley, Lewis","7","131","14",,"68","1 mins 12.51s","72.51","2.85","65","6","5","Flat","0","0","3","0","1282","0","Handicap","held up towards rear, headway towards inside chasing leaders over 2f out, ridden inside final furlong, weakened towards finish","4","Inside","Straight",,"23","33","Swiss Spirit","Undulating","245","Gelding","Bow Bridge","Bertolini (USA)","70",
"2023-09-01","14:00:00","Carlisle","Armstrong Watson Handicap","3yo+","Class 5",,"6f ","4187","Good To Firm","12","6th","0.5","Giselles Izzy (IRE)","4","Jardine, I","4","Mullen, Andrew","0","131","4",,"61","1 mins 12.51s","72.51","3.35","65","6","6","Flat","0","0","3","0","1282","0","Handicap","held up in mid-division, headway chasing leaders under pressure over 1f out, weakened inside final furlong","10","Inside","Straight",,"11","27","Camacho","Undulating","0","Filly","Miss Cape (IRE)","Cape Cross (IRE)","70",
"2023-09-01","14:00:00","Carlisle","Armstrong Watson Handicap","3yo+","Class 5",,"6f ","4187","Good To Firm","12","7th","2.25","Flash The Dash (IRE)","8","Camacho, Miss J A","4","Nolan, D","0","133","8.5",,"63","1 mins 12.51s","72.51","5.6","65","6","7","Flat","0","0","3","0","1282","0","Handicap","chased leaders, pushed along over 2f out, ridden and weakened over 1f out","7","Inside","Straight","CkPc","20","16","Estidhkaar (IRE)","Undulating","0","Gelding","Anamarka","Mark Of Esteem (IRE)","70",
"2023-09-01","14:00:00","Carlisle","Armstrong Watson Handicap","3yo+","Class 5",,"6f ","4187","Good To Firm","12","8th","SH","Thaki (IRE)","2","Scott, Miss Katie","6","Dennis, Phil","0","140","12",,"70","1 mins 12.51s","72.51","5.65","65","6","8","Flat","0","0","3","0","1282","0","Handicap","held up in last pair, some headway on inside over 2f out, ridden and weakened over 1f out","1","Inside","Straight"," TT","13","41","Lope De Vega (IRE)","Undulating","0","Gelding","Mickleberry (IRE)","Desert Style (IRE)","70",
"2023-09-01","14:00:00","Carlisle","Armstrong Watson Handicap","3yo+","Class 5",,"6f ","4187","Good To Firm","12","9th","3","Spirit In My Soul (IRE)","9","Carroll, D","3","Wheatley, Zak","5","128","11",,"65","1 mins 12.51s","72.51","8.65","65","6","9","Flat","0","0","3","0","1282","0","Handicap","chased leaders until halfway, soon outpaced and behind","8","Inside","Straight","Blnk","21","13","Holy Roman Emperor (IRE)","Undulating",,"Filly","Tashas Dream (USA)","Woodman (USA)","70",
"2023-09-01","14:00:00","Carlisle","Armstrong Watson Handicap","3yo+","Class 5",,"6f ","4187","Good To Firm","12","10th","1.75","Brother Sebastian (IRE)","5","Easterby, T D","3","Allan, David","0","131","25",,"63","1 mins 12.51s","72.51","10.4","65","6","10","Flat","0","0","3","0","1282","0","Handicap","chased leaders on inside, pushed along over 2f out, weakened quickly over 1f out, soon behind","9","Inside","Straight",,"62","6","Kodiac","Undulating",,"Gelding","Tooraweenah","Notnowcato","70",
"2023-09-01","14:00:00","Carlisle","Armstrong Watson Handicap","3yo+","Class 5",,"6f ","4187","Good To Firm","12","11th","1.25","Resilience","6","Lidster, Craig","4","James, S H","0","139","10",,"69","1 mins 12.51s","72.51","11.65","65","6","11","Flat","0","0","3","0","1282","0","Handicap","held up in mid-division, pushed along chasing leaders over 2f out, weakened inside final 2f","2","Inside","Straight",,"15","27","Aclaim (IRE)","Undulating",,"Gelding","Calypso Choir","Bahamian Bounty","70",
"2023-09-01","14:00:00","Carlisle","Armstrong Watson Handicap","3yo+","Class 5",,"6f ","4187","Good To Firm","12","12th","1","Saleet","11","Easterby, T D","3","Garritty, Jack","0","129","33",,"61","1 mins 12.51s","72.51","12.65","65","6","12","Flat","0","0","3","0","1282","0","Handicap","led until halfway, lost 2nd 2f out, weakened quickly soon after","12","Inside","Straight","CkPc","16","10","Tasleet","Undulating",,"Filly","Sally (FR)","Whipper (USA)","70",
"2023-09-01","14:30:00","Carlisle","Carrs Group PLC Nursery","2yo","Class 5",,"5f ","4187","Good To Firm","6","1st",,"Bellarchi (IRE)","1","Tuer, Grant","2","James, S H","0","131","2.25",,"71","1 mins 1.44s","61.44",,"71.5","5","1","Flat","0","0","2","0","1100","0","Handicap Nursery","made virtually all, ridden and strongly pressed inside final furlong, ran on gamely to assert final strides","4","Inside","Straight",,"44","7","Mehmas (IRE)","Undulating","4187","Filly","Drop Dead Gorgeous (FR)","Sepoy (AUS)","83",
"2023-09-01","14:30:00","Carlisle","Carrs Group PLC Nursery","2yo","Class 5",,"5f ","4187","Good To Firm","6","2nd","HD","Mini Magna (IRE)","5","Dunlop, E A L","2","Sexton, Ryan","3","140","1.88","(Fav)","83","1 mins 1.44s","61.44","0.1","71.5","5","2","Flat","0","0","2","0","1100","0","Handicap Nursery","raced keenly, chased leader, ridden and strong challenge inside final furlong, found no extra final strides","1","Inside","Straight",,"9","4","Magna Grecia (IRE)","Undulating","1965","Gelding","Purple Glow (IRE)","Orientate (USA)","83",
"2023-09-01","14:30:00","Carlisle","Carrs Group PLC Nursery","2yo","Class 5",,"5f ","4187","Good To Firm","6","3rd","3.25","Im Spartacus (IRE)","2","Smart, B","2","Lee, G","0","132","10",,"72","1 mins 1.44s","61.44","3.35","71.5","5","3","Flat","0","0","2","0","1100","0","Handicap Nursery","chased leaders on inside, ridden inside final 2f, 3rd and one pace final furlong, no chance with leading duo","2","Inside","Straight",,"13","4","Profitable (IRE)","Undulating","982","Colt","Air Of Mystery","Sakhees Secret","83",
"2023-09-01","14:30:00","Carlisle","Carrs Group PLC Nursery","2yo","Class 5",,"5f ","4187","Good To Firm","6","4th","2","Scoops Ahoy (IRE)","6","OMeara, D","2","Nolan, D","0","132","5",,"72","1 mins 1.44s","61.44","5.35","71.5","5","4","Flat","0","0","2","0","1100","0","Handicap Nursery","steadied and went left start, raced keenly in last pair, good headway out wide halfway, weakened final furlong","3","Inside","Straight"," TT","3","8","Bungle Inthejungle","Undulating","491","Colt","Mochachino (IRE)","Fast Company (IRE)","83",
"2023-09-01","14:30:00","Carlisle","Carrs Group PLC Nursery","2yo","Class 5",,"5f ","4187","Good To Firm","6","5th","3.5","Socialise (IRE)","4","Tinkler, N","2","Mullen, Andrew","0","124","14",,"64","1 mins 1.44s","61.44","8.85","71.5","5","5","Flat","0","0","2","0","1100","0","Handicap Nursery","behind most of way","5","Inside","Straight",,"11","6","Advertise","Undulating","245","Gelding","Powerful Star (IRE)","Slade Power (IRE)","83",
"2023-09-01","14:30:00","Carlisle","Carrs Group PLC Nursery","2yo","Class 5",,"5f ","4187","Good To Firm","6","6th","6","Chat Up Line","3","Easterby, T D","2","Allan, David","0","124","6.5",,"64","1 mins 1.44s","61.44","14.85","71.5","5","6","Flat","0","0","2","0","1100","0","Handicap Nursery","chased leading pair, pushed along halfway, hung right and weakened 2f out","6","Inside","Straight","Hood","11","8","James Garfield (IRE)","Undulating","0","Filly","Chatline (IRE)","One Cool Cat (USA)","83",
"2023-09-01","15:00:00","Carlisle","Cubby Construction Handicap","3yo+","Class 5",,"5f ","4187","Good To Firm","11","1st",,"Jordan Electrics","7","Goldie, J S","7","Mulrennan, Paul","0","134","9",,"71","1 mins 0.70s","60.7",,"73","5","1","Flat","0","0","3","0","1100","0","Handicap","chased leaders, led final 100 yards, ran on gamely","9","Inside","Straight",,"13","57","Dandy Man (IRE)","Undulating","4187","Gelding","Ruby Slippers","Sir Percy","79",
"2023-09-01","15:00:00","Carlisle","Cubby Construction Handicap","3yo+","Class 5",,"5f ","4187","Good To Firm","11","2nd","NK","The Dunkirk Lads","6","Easterby, T D","4","Fentiman, Duran","0","131","16",,"68","1 mins 0.70s","60.7","0.15","73","5","2","Flat","0","0","3","0","1100","0","Handicap","held up in rear, headway out wide chasing leaders over 1f out, not much room and squeezed through between horses inside final furlong, went 2nd towards finish, not reach winner","10","Inside","Straight",,"15","28","Pivotal","Undulating","1965","Gelding","Spatial","New Approach (IRE)","79",
"2023-09-01","15:00:00","Carlisle","Cubby Construction Handicap","3yo+","Class 5",,"5f ","4187","Good To Firm","11","3rd","0.75","Mersea (FR)","11","Tuer, Grant","3","James, S H","0","141","6.5",,"79","1 mins 0.70s","60.7","0.9","73","5","3","Flat","0","0","3","0","1100","0","Handicap","chased leaders out wide, pushed along and every chance 2f out, ridden over 1f out, stayed on towards finish","1","Inside","Straight",,"9","11","Born To Sea (IRE)","Undulating","982","Filly","Bolga Bere (FR)","Hold That Tiger (USA)","79",
"2023-09-01","15:00:00","Carlisle","Cubby Construction Handicap","3yo+","Class 5",,"5f ","4187","Good To Firm","11","4th","0.75","Thornaby Pearl","5","Nicholls, Adrian","5","McHugh, B","0","134","7",,"71","1 mins 0.70s","60.7","1.65","73","5","4","Flat","0","0","3","0","1100","0","Handicap","chased leaders, led narrowly inside final furlong, headed final 100 yards, no extra towards finish","8","Inside","Straight","CkPc","13","22","Pearl Secret","Undulating","491","Gelding","Juncea","Elnadim (USA)","79",
"2023-09-01","15:00:00","Carlisle","Cubby Construction Handicap","3yo+","Class 5",,"5f ","4187","Good To Firm","11","5th","NK","Refuge","9","Easterby, M W","6","Chalkley, Lewis","7","128","40",,"72","1 mins 0.70s","60.7","1.7999999999999998","73","5","5","Flat","0","0","3","0","1100","0","Handicap","chased leaders out wide, led over 1f out, headed inside final furlong, weakened towards finish","7","Inside","Straight"," TT","18","39","Harbour Watch (IRE)","Undulating","245","Gelding","Beldale Memory (IRE)","Camacho","79",
"2023-09-01","15:00:00","Carlisle","Cubby Construction Handicap","3yo+","Class 5",,"5f ","4187","Good To Firm","11","6th","1","Papa Dont Preach (IRE)","3","Frost, Kevin","4","Lee, Clifford","0","138","12",,"75","1 mins 0.70s","60.7","2.8","73","5","6","Flat","0","0","3","0","1100","0","Handicap","pressed leader, ridden and every chance over 1f out, weakened inside final furlong","3","Inside","Straight",,"26","17","Kodiac","Undulating","0","Gelding","Paella (IRE)","Oasis Dream","79",
"2023-09-01","15:00:00","Carlisle","Cubby Construction Handicap","3yo+","Class 5",,"5f ","4187","Good To Firm","11","7th","NSE","Lord Abama (IRE)","10","Dods, M","4","Rodriguez, Callum","0","130","12",,"67","1 mins 0.70s","60.7","2.8299999999999996","73","5","7","Flat","0","0","3","0","1100","0","Handicap","held up towards rear, headway chasing leaders when not clear run inside final furlong, no great headway when in the clear","11","Inside","Straight","CkPc","12","15","Profitable (IRE)","Undulating","0","Gelding","Dancing Years (IRE)","Iffraaj","79",
"2023-09-01","15:00:00","Carlisle","Cubby Construction Handicap","3yo+","Class 5",,"5f ","4187","Good To Firm","11","8th","1.25","Sound Reason","2","Ryan, K A","5","Gray, S A","0","139","4.5","(Fav)","76","1 mins 0.70s","60.7","4.08","73","5","8","Flat","0","0","3","0","1100","0","Handicap","chased leaders on inside, ridden over 1f out, weakened soon after","2","Inside","Straight","Blnk","18","23","Hot Streak (IRE)","Undulating","0","Gelding","Brown Eyed Honey","Elusive City (USA)","79",
"2023-09-01","15:00:00","Carlisle","Cubby Construction Handicap","3yo+","Class 5",,"5f ","4187","Good To Firm","11","9th","1.5","Show Me Show Me","1","Fahey, R A","6","Orr, Oisin","0","137","6",,"74","1 mins 0.70s","60.7","5.580000000000001","73","5","9","Flat","0","0","3","0","1100","0","Handicap","steadied start, held up towards rear, some headway on inside over 1f out, hung right and weakened final furlong","4","Inside","Straight","Vsor","15","46","Showcasing","Undulating",,"Gelding","Springing Baroness","Bertolini (USA)","79",
"2023-09-01","15:00:00","Carlisle","Cubby Construction Handicap","3yo+","Class 5",,"5f ","4187","Good To Firm","11","10th","2.25","Borough","8","Jardine, I","3","Winn, Mark","3","132","9",,"73","1 mins 0.70s","60.7","7.830000000000001","73","5","10","Flat","0","0","3","0","1100","0","Handicap","led, ridden and headed over 1f out, weakened final furlong","6","Inside","Straight",,"11","15","New Bay","Undulating",,"Gelding","Partitia","Bated Breath","79",
"2023-09-01","15:00:00","Carlisle","Cubby Construction Handicap","3yo+","Class 5",,"5f ","4187","Good To Firm","11","11th","0.75","Ramon Di Loria (IRE)","4","Whillans, Ewan","5","Sexton, Ryan","3","133","5",,"73","1 mins 0.70s","60.7","8.58","73","5","11","Flat","0","0","3","0","1100","0","Handicap","steadied start, always in rear","5","Inside","Straight",,"26","34","Dandy Man (IRE)","Undulating",,"Gelding","Pria Bona (IRE)","Blu Air Force (IRE)","79",
"2023-09-01","15:30:00","Carlisle","David Allen IT Solutions EBF Novice Stakes (GBB Race)","2yo","Class 4",,"1m ","6750","Good To Firm","8","1st",,"Touch The Moon (IRE)","3","Horton, James","2","McDonald, P J","0","130","1.2",,"0","1 mins 42.52s","102.52",,"0","8","1","Flat","0","0","3","0","1713","5","Novices","tracked leader, led over 1f out, soon ridden, pushed clear final furlong, stayed on well, eased towards finish","6","Inside","Right Handed",,"21","2","Sea The Stars (IRE)","Undulating","6750","Colt","Holda (IRE)","Docksider (USA)","88",
"2023-09-01","15:30:00","Carlisle","David Allen IT Solutions EBF Novice Stakes (GBB Race)","2yo","Class 4",,"1m ","6750","Good To Firm","8","2nd","2","Magsood (IRE)","1","Varian, Roger","2","Mitchell, Jack","0","137","0.91","(Fav)","88","1 mins 42.52s","102.52","2","0","8","2","Flat","0","0","3","0","1713","5","Novices","pulled hard in close 3rd on inside, angled out over 2f out, stayed on inside final furlong, went 2nd towards finish, no chance with winner","1","Inside","Right Handed","Hood","16","3","Too Darn Hot","Undulating","3169","Colt","Tantshi (IRE)","Invincible Spirit (IRE)","88",
"2023-09-01","15:30:00","Carlisle","David Allen IT Solutions EBF Novice Stakes (GBB Race)","2yo","Class 4",,"1m ","6750","Good To Firm","8","3rd","0.5","Washeek (IRE)","8","Burke, K R","2","Lee, Clifford","0","130","11",,"0","1 mins 42.52s","102.52","2.5","0","8","3","Flat","0","0","3","0","1713","5","Novices","raced wide early, led, ridden over 1f out, soon headed, no chance with winner, lost 2nd towards finish","7","Inside","Right Handed",,"21","1","Saxon Warrior (JPN)","Undulating","1585","Colt","Desert Version","Green Desert (USA)","88",
"2023-09-01","15:30:00","Carlisle","David Allen IT Solutions EBF Novice Stakes (GBB Race)","2yo","Class 4",,"1m ","6750","Good To Firm","8","4th","4","Curran (IRE)","7","Johnston, Charlie","2","Fanning, Joe","0","130","16",,"0","1 mins 42.52s","102.52","6.5","0","8","4","Flat","0","0","3","0","1713","5","Novices","ran green and never going well in rear, good late headway, nearest finish","3","Inside","Right Handed",,"None","0","Gleneagles (IRE)","Undulating","792","Colt","Tipitena","Camelot","88",
"2023-09-01","15:30:00","Carlisle","David Allen IT Solutions EBF Novice Stakes (GBB Race)","2yo","Class 4",,"1m ","6750","Good To Firm","8","5th","1.75","Finn Ironside","2","Lidster, Craig","2","James, S H","0","130","66",,"0","1 mins 42.52s","102.52","8.25","0","8","5","Flat","0","0","3","0","1713","5","Novices","steadied start, held up in last pair, never threatened","5","Inside","Right Handed",,"16","1","Due Diligence (USA)","Undulating","0","Gelding","Zelaniya (IRE)","Lawman (FR)","88",
"2023-09-01","15:30:00","Carlisle","David Allen IT Solutions EBF Novice Stakes (GBB Race)","2yo","Class 4",,"1m ","6750","Good To Firm","8","6th","1.25","Curious Mrs Fox","5","Davies, J J","2","Waugh, Amie","5","120","200",,"0","1 mins 42.52s","102.52","9.5","0","8","6","Flat","0","0","3","0","1713","5","Novices","raced keenly tracking leaders out wide, outpaced when slightly hampered 2f out, soon weakened","8","Inside","Right Handed",,"17","2","Dragon Dancer","Undulating","0","Filly","Crimson Skies (IRE)","Declaration Of War (USA)","88",
"2023-09-01","15:30:00","Carlisle","David Allen IT Solutions EBF Novice Stakes (GBB Race)","2yo","Class 4",,"1m ","6750","Good To Firm","8","7th","14","Dandycan","6","Corbett, Mrs Susan","2","Lee, G","0","130","80",,"0","1 mins 42.52s","102.52","23.5","0","8","7","Flat","0","0","3","0","1713","5","Novices","slowly into stride, raced keenly towards rear, pushed along in 5th over 3f out, never a factor, tailed off","4","Inside","Right Handed",,"None","0","Dandy Man (IRE)","Undulating","0","Colt","Feint","Teofilo (IRE)","88",
"2023-09-01","15:30:00","Carlisle","David Allen IT Solutions EBF Novice Stakes (GBB Race)","2yo","Class 4",,"1m ","6750","Good To Firm","8","8th","32","Brompton Cross (IRE)","4","OKeeffe, Jedd","2","Garritty, Jack","0","130","33",,"0","1 mins 42.52s","102.52","55.5","0","8","8","Flat","0","0","3","0","1713","5","Novices","ran green off the pace towards rear, pushed along halfway, never a factor, tailed off","2","Inside","Right Handed",,"None","0","Farhh","Undulating","0","Gelding","Eneryda (FR)","Sinndar (IRE)","88",
"2023-09-01","16:00:00","Carlisle","Knights Handicap","3yo+","Class 5",,"1m ","4187","Good To Firm","7","1st",,"Showmedemoney (IRE)","7","Jardine, I","4","Mullen, Andrew","0","140","12",,"69","1 mins 40.76s","100.76",,"68","8","1","Flat","0","0","2","0","1713","5","Handicap","quickly away, led for 2f, pressed leader, led again inside final 2f, ridden and stayed on gamely final furlong","2","Inside","Right Handed","CkPc TT","39","23","Divine Prophet (AUS)","Undulating","4187","Gelding","Escapism (IRE)","Iffraaj","69",
"2023-09-01","16:00:00","Carlisle","Knights Handicap","3yo+","Class 5",,"1m ","4187","Good To Firm","7","2nd","0.75","Lockdown Lass","5","Hanmer, G D","5","Mitchell, Jack","0","128","2","(Fav)","57","1 mins 40.76s","100.76","0.75","68","8","2","Flat","0","0","2","0","1713","5","Handicap","held up in last pair, closer halfway, chasing leaders when hung left 2f out, ridden to challenge in 2nd over 1f out, stayed on inside final furlong, never going pace to challenge","7","Inside","Right Handed",,"20","31","Albaasil (IRE)","Undulating","1965","Mare","Littlemoor Lass","Motivator","69",
"2023-09-01","16:00:00","Carlisle","Knights Handicap","3yo+","Class 5",,"1m ","4187","Good To Firm","7","3rd","NK","Alpine Sierra (IRE)","3","Goldie, J S","5","Mulrennan, Paul","0","139","3.33",,"68","1 mins 40.76s","100.76","0.9","68","8","3","Flat","0","0","2","0","1713","5","Handicap","tracked leading pair on inside, angled out 2f out, kept on inside final furlong, not pace to challenge","3","Inside","Right Handed",,"15","21","Distorted Humor (USA)","Undulating","982","Gelding","Unaccompanied (IRE)","Danehill Dancer (IRE)","69",
"2023-09-01","16:00:00","Carlisle","Knights Handicap","3yo+","Class 5",,"1m ","4187","Good To Firm","7","4th","0.5","Temper Trap","6","Easterby, T D","6","Allan, David","0","139","4",,"68","1 mins 40.76s","100.76","1.4","68","8","4","Flat","0","0","2","0","1713","5","Handicap","held up in last pair, closer out wide over 3f out, kept on inside final furlong, never going pace to challenge","4","Inside","Right Handed",,"14","51","Slade Power (IRE)","Undulating","491","Gelding","Sloane Square","Teofilo (IRE)","69",
"2023-09-01","16:00:00","Carlisle","Knights Handicap","3yo+","Class 5",,"1m ","4187","Good To Firm","7","5th","4.5","Violeta (IRE)","2","Haslam, B M R","3","Lee, G","0","131","9",,"65","1 mins 40.76s","100.76","5.9","68","8","5","Flat","0","0","2","0","1713","5","Handicap","held up in 5th, dropped top rear halfway, struggling and no chance after","6","Inside","Right Handed",,"25","11","Kodiac","Undulating","245","Filly","Welsh Anthem","Singspiel (IRE)","69",
"2023-09-01","16:00:00","Carlisle","Knights Handicap","3yo+","Class 5",,"1m ","4187","Good To Firm","7","6th","5.5","Tremendous Times","4","Dods, M","3","Rodriguez, Callum","0","135","5",,"69","1 mins 40.76s","100.76","11.4","68","8","6","Flat","0","0","2","0","1713","5","Handicap","raced keenly tracking leaders out wide, pushed along over 2f out, hung right and weakened over 1f out","5","Inside","Right Handed","CkPc","15","7","Time Test","Undulating","0","Gelding","Summers Lease","Pivotal","69",
"2023-09-01","16:00:00","Carlisle","Knights Handicap","3yo+","Class 5",,"1m ","4187","Good To Firm","7","7th","30","Gordonstoun (IRE)","1","Bailey, Liam","5","Garritty, Jack","0","140","33",,"69","1 mins 40.76s","100.76","41.4","68","8","7","Flat","0","0","2","0","1713","5","Handicap","pressed leader, led 6f out, pushed along over 2f out, ridden and headed inside final 2f, soon lost 2nd and weakened quickly, tailed off","1","Inside","Right Handed","CkPc","312","19","Gleneagles (IRE)","Undulating","0","Gelding","Elusive Girl (IRE)","Elusive City (USA)","69",
"2023-09-01","16:30:00","Carlisle","NXT Recruitment Handicap","3yo+","Class 5",,"1m3f ","4187","Good To Firm","11","1st",,"Arrange (IRE)","9","Todhunter, M","5","Nolan, D","0","144","10",,"77","2 mins 25.56s","145.56",,"74","11","1","Flat","0","0","3","0","2459","5","Handicap","raced keenly tracking leaders out wide, led 2f out, ridden over 1f out, stayed on strongly, driven out","2","Outside","Right Handed",,"72","13","Mastercraftsman (IRE)","Undulating","4187","Mare","Watsdaplan (IRE)","Verglas (IRE)","77",
